Start,End,Size,R/W,"Function
codes",Name,Description,Type,Units,Scale Factor,"Range
of values"
1,1,1,R,0x03,ID,Well-known value. Uniquely identifies this as a sunspec model settings (121),uint16,,,121
2,2,1,R,0x03,L,Length of sunspec model settings (121),uint16,Registers,,30
3,3,1,R,0x03,WMax,Setting for maximum power output. Default to WRtg.,uint16,W,WMax_SF,
4,4,1,R,0x03,VRef,Voltage at the PCC.,uint16,V,VRef_SF,
5,5,1,R,0x03,VRefOfs,Offset  from PCC to inverter.,int16,V,VRefOfs_SF,0.0
6,6,1,R,0x03,VMax,Setpoint for maximum voltage.,uint16,V,VMinMax_SF,not supported
7,7,1,R,0x03,VMin,Setpoint for minimum voltage.,uint16,V,VMinMax_SF,not supported
8,8,1,R,0x03,VAMax,Setpoint for maximum apparent power. Default to VARtg.,uint16,VA,VAMax_SF,same as nameplate.VARtg
9,9,1,R,0x03,VArMaxQ1,Setting for maximum reactive power in quadrant 1. Default to VArRtgQ1.,int16,var,VArMax_SF,same as nameplate.VArRtgQ1
10,10,1,R,0x03,VArMaxQ2,Setting for maximum reactive power in quadrant 2. Default to VArRtgQ2.,int16,var,VArMax_SF,same as nameplate.VArRtgQ2
11,11,1,R,0x03,VArMaxQ3,Setting for maximum reactive power in quadrant 3. Default to VArRtgQ3.,int16,var,VArMax_SF,same as nameplate.VArRtgQ3
12,12,1,R,0x03,VArMaxQ4,Setting for maximum reactive power in quadrant 4. Default to VArRtgQ4.,int16,var,VArMax_SF,same as nameplate.VArRtgQ4
13,13,1,R,0x03,WGra,Default ramp rate of change of active power due to command or internal action.,uint16,% WMax/sec,WGra_SF,not supported
14,14,1,R,0x03,PFMinQ1,Setpoint for minimum power factor value in quadrant 1. Default to PFRtgQ1.,int16,cos(),PFMin_SF,same as nameplate.PFRtgQ1
15,15,1,R,0x03,PFMinQ2,Setpoint for minimum power factor value in quadrant 2. Default to PFRtgQ2.,int16,cos(),PFMin_SF,same as nameplate.PFRtgQ2
16,16,1,R,0x03,PFMinQ3,Setpoint for minimum power factor value in quadrant 3. Default to PFRtgQ3.,int16,cos(),PFMin_SF,same as nameplate.PFRtgQ3
17,17,1,R,0x03,PFMinQ4,Setpoint for minimum power factor value in quadrant 4. Default to PFRtgQ4.,int16,cos(),PFMin_SF,same as nameplate.PFRtgQ4
18,18,1,R,0x03,VArAct,VAR action on change between charging and discharging: 1=switch 2=maintain VAR characterization.,enum16,,,not supported
19,19,1,R,0x03,ClcTotVA,Calculation method for total apparent power. 1=vector 2=arithmetic.,enum16,,,not supported
20,20,1,R,0x03,MaxRmpRte,Setpoint for maximum ramp rate as percentage of nominal maximum ramp rate. This setting will limit the rate that watts delivery to the grid can increase or decrease in response to intermittent PV generation.,uint16,% WGra,MaxRmpRte_SF,not supported
21,21,1,R,0x03,ECPNomHz,Setpoint for nominal frequency at the ECP.,uint16,Hz,ECPNomHz_SF,not supported
22,22,1,R,0x03,ConnPh,Identity of connected phase for single phase inverters. A=1 B=2 C=3.,enum16,,,not supported
23,23,1,R,0x03,WMax_SF,Scale factor for real power.,sunssf,,,1
24,24,1,R,0x03,VRef_SF,Scale factor for voltage at the PCC.,sunssf,,,0
25,25,1,R,0x03,VRefOfs_SF,Scale factor for offset voltage.,sunssf,,,0
26,26,1,R,0x03,VMinMax_SF,Scale factor for min/max voltages.,sunssf,,,0
27,27,1,R,0x03,VAMax_SF,Scale factor for apparent power.,sunssf,,,1
28,28,1,R,0x03,VArMax_SF,Scale factor for reactive power.,sunssf,,,1
29,29,1,R,0x03,WGra_SF,Scale factor for default ramp rate.,sunssf,,,not supported
30,30,1,R,0x03,PFMin_SF,Scale factor for minimum power factor.,sunssf,,,-3
31,31,1,R,0x03,MaxRmpRte_SF,Scale factor for maximum ramp percentage.,sunssf,,,not supported
32,32,1,R,0x03,ECPNomHz_SF,Scale factor for nominal frequency.,sunssf,,,not supported
